tbl,year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,tbl1apk
Table1a,2024,3,30257,32575,"Albany, NY","Los Angeles, CA (Metropolitan Area)",10257,12954,ALB,LGB,2468,14.23913043,289.0419847,WN,0.9923664122,288.7046154,WN,0.9923664122,288.7046154,202431025712954ALBLGB
Table1a,2024,3,30257,33195,"Albany, NY","Tampa, FL (Metropolitan Area)",10257,15304,ALB,TPA,1138,149.8913043,252.3450326,WN,0.663524293,225.5182514,WN,0.663524293,225.5182514,202431025715304ALBTPA
Table1a,2024,3,30257,32575,"Albany, NY","Los Angeles, CA (Metropolitan Area)",10257,10800,ALB,BUR,2468,22.2826087,302.7043902,WN,0.8,282.8176829,WN,0.8,282.8176829,202431025710800ALBBUR
Table1a,2024,3,30257,32575,"Albany, NY","Los Angeles, CA (Metropolitan Area)",10257,13891,ALB,ONT,2468,23.26086957,354.014486,WN,0.4626168224,304.8919192,WN,0.4626168224,304.8919192,202431025713891ALBONT
Table1a,2024,3,30257,30852,"Albany, NY","Washington, DC (Metropolitan Area)",10257,10821,ALB,BWI,325,135.7608696,232.1979984,WN,0.996797438,232.0185542,WN,0.996797438,232.0185542,202431025710821ALBBWI
Table1a,2024,3,30257,30852,"Albany, NY","Washington, DC (Metropolitan Area)",10257,12264,ALB,IAD,325,91.08695652,244.5126492,UA,0.9952267303,244.5003597,UA,0.9952267303,244.5003597,202431025712264ALBIAD
Table1a,2024,3,30257,30977,"Albany, NY","Chicago, IL",10257,13232,ALB,MDW,723,117.826087,204.8345018,WN,0.9889298893,203.5564366,WN,0.9889298893,203.5564366,202431025713232ALBMDW
Table1a,2024,3,30257,32575,"Albany, NY","Los Angeles, CA (Metropolitan Area)",10257,14908,ALB,SNA,2468,35.2173913,456.0481481,AA,0.2716049383,484.4943182,WN,0.1944444444,333.015873,202431025714908ALBSNA
Table1a,2024,3,30257,30977,"Albany, NY","Chicago, IL",10257,13930,ALB,ORD,723,311.7391304,243.5141911,UA,0.7241980474,239.219066,UA,0.7241980474,239.219066,202431025713930ALBORD
Table1a,2024,3,30257,32467,"Albany, NY","Miami, FL (Metropolitan Area)",10257,13303,ALB,MIA,1225,44.89130435,284.6179177,AA,0.5399515738,296.0282511,WN,0.1937046005,248.06125,202431025713303ALBMIA
